responsable,fecha_extraccion,titulo,ubicacion,m2,precio,dormitorios,banos,estacionamiento,piscina,quincho,terraza,gimnasio,lavanderia,enlace
Constanza Torres,2026-04-22 17:26:58,Departamento Mitula,Coquimbo,75,900000.0,2,2,1,1,1,1,1,1,https://casas.mitula.cl/adform/24301-256-71a3-19d7bc9a763c-a7c3-19ca6cb-991e?page=1&pos=10&t_sec=1&t_pvid=d6aa1de9-975f-4688-80e4-45adbacb34ad&hd=false
Constanza Torres,2026-04-22 17:26:58,Departamento Mitula,Coquimbo,75,720000.0,3,2,1,1,0,0,1,0,https://casas.mitula.cl/adform/24301-256-7f2b-2495080f3925-ab3f-19b94e5-54cd?page=1&pos=11&t_sec=1&t_pvid=d6aa1de9-975f-4688-80e4-45adbacb34ad&hd=false
Constanza Torres,2026-04-22 17:27:06,Departamento Mitula,La Serena,95,800000.0,3,2,1,1,0,1,1,0,https://casas.mitula.cl/adform/24301-256-7e1c-9e83349044eb-a4c3-19c51e2-4736?page=2&pos=0&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:06,Departamento Mitula,Coquimbo,60,550000.0,2,2,1,1,0,1,0,0,https://casas.mitula.cl/adform/24301-256-785b-c40020a9922f-9d4a-19cfd56-6006?page=2&pos=1&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,66,700000.0,2,2,1,1,0,1,1,0,https://casas.mitula.cl/adform/24301-256-7e36-a18aa757bf32-9f3a-19d3d0f-1ae2?page=2&pos=2&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,80,850000.0,3,2,1,1,0,1,0,0,https://casas.mitula.cl/adform/24301-256-7fd1-fa6a9d8027ac-9aea-19c4dcf-b0a8?page=2&pos=3&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,104,120000.0,3,2,1,1,1,1,0,0,https://casas.mitula.cl/adform/24301-256-73be-4b7dd6e59e49-b3de-19625da-3e7?page=2&pos=4&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,65,520000.0,2,2,1,1,1,1,0,0,https://casas.mitula.cl/adform/24301-256-75e5-c6a1b43c37a1-ae05-19d0658-eb47?page=2&pos=5&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,77,680000.0,3,2,1,1,1,1,0,0,https://casas.mitula.cl/adform/24301-256-741e-ece157bb6003-9c98-19ac3b0-7e94?page=2&pos=6&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,65,450000.0,3,2,1,1,1,1,0,0,https://casas.mitula.cl/adform/24301-256-4952-59fe89f9c123-8bc0-35e589c1-e32c?page=2&pos=7&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,55,470000.0,3,1,1,1,1,0,0,1,https://casas.mitula.cl/adform/24301-256-7327-e2789c876fdf-8926-1950340-1289?page=2&pos=8&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,0,650000.0,2,2,1,1,1,1,0,0,https://casas.mitula.cl/adform/24301-256-74cd-16ec4ad338ef-ad66-19908b0-73a6?page=2&pos=9&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,56,500000.0,3,2,1,1,1,0,1,0,https://casas.mitula.cl/adform/24301-256-78a4-6c549328954d-b74c-19b0ba7-411a?page=2&pos=10&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,34,350000.0,1,1,0,1,0,1,0,0,https://casas.mitula.cl/adform/24301-256-7329-15e9c089f0c1-b1ac-1960301-b012?page=2&pos=11&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,130,950000.0,3,2,1,1,1,1,1,0,https://casas.mitula.cl/adform/24301-256-7895-d83b56348811-9505-19d31a7-920b?page=2&pos=12&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,55,580000.0,2,2,1,1,1,0,1,0,https://casas.mitula.cl/adform/24301-256-77ed-fd22ad03f9ef-a45e-19d7948-d7f0?page=2&pos=13&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,65,480000.0,3,1,1,1,1,0,0,0,https://casas.mitula.cl/adform/24301-256-762a-7868ccb3bf74-8a69-19d9381-39e2?page=2&pos=14&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,90,850000.0,3,2,1,1,1,1,0,1,https://casas.mitula.cl/adform/24301-256-718f-1f99e4d7e44f-9373-19db1e3-8840?page=2&pos=15&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,65,580000.0,2,2,1,1,1,1,0,1,https://casas.mitula.cl/adform/24301-256-7852-2bb8799692d5-9212-19cee84-c550?page=2&pos=16&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,60,550000.0,2,2,1,1,0,1,0,0,https://casas.mitula.cl/adform/24301-256-787b-688f6e8df57d-9117-19d1d6c-9ee3?page=2&pos=17&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,55,95000.0,2,2,1,1,1,1,0,1,https://casas.mitula.cl/adform/24301-256-776d-e39c3c733a53-b34d-1934c55-35dd?page=2&pos=18&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,115,135000.0,4,2,1,1,0,1,0,0,https://casas.mitula.cl/adform/24301-256-7548-497e8e894bb-b72b-19328ac-fabb?page=2&pos=19&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,130,145000.0,4,3,1,1,1,1,0,0,https://casas.mitula.cl/adform/24301-256-7870-dbf6789f870a-8b35-193124e-8e2?page=2&pos=20&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,85,110000.0,2,2,1,1,0,1,0,0,https://casas.mitula.cl/adform/24301-256-787f-43543bc90ef9-ab3b-1930954-6aab?page=2&pos=21&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,0,1100000.0,3,2,1,1,0,1,1,0,https://casas.mitula.cl/adform/24301-256-78a5-93c4f6d79185-879c-19c97fb-4e53?page=2&pos=22&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,55,90000.0,2,2,1,1,1,1,0,1,https://casas.mitula.cl/adform/24301-256-7658-4e300ee61799-b312-1932d9f-c22d?page=2&pos=23&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,60,100000.0,2,2,1,1,0,1,0,0,https://casas.mitula.cl/adform/24301-256-7870-fc37ee09450a-8b35-1931294-a91?page=2&pos=24&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,63,450000.0,3,5,1,1,1,1,1,0,https://casas.mitula.cl/adform/24301-256-7245-562d6b4c2c72-8463-19c4451-54d7?page=2&pos=25&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,60,580000.0,2,2,1,1,0,1,0,0,https://casas.mitula.cl/adform/24301-256-739c-5449c0cfb41e-8b13-19d31b8-dbbd?page=2&pos=26&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,60,100000.0,2,2,1,1,1,0,1,1,https://casas.mitula.cl/adform/24301-256-7baf-4f4c613f6dd-87a7-19346b9-b8b7?page=2&pos=27&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,Coquimbo,72,420000.0,2,1,1,1,1,0,0,0,https://casas.mitula.cl/adform/24301-256-789b-9fe841707b6d-b1e2-19bfc15-3bff?page=2&pos=28&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:07,Departamento Mitula,La Serena,0,75000.0,3,1,1,1,1,1,0,0,https://casas.mitula.cl/adform/24301-256-7548-fbfeb21ef725-b72a-1932898-b938?page=2&pos=29&t_sec=1&t_pvid=f8aecf91-5634-48fd-b49f-9eb139769826&hd=false
Constanza Torres,2026-04-22 17:27:16,Departamento Mitula,La Serena,53,480000.0,2,2,1,1,0,1,0,0,https://casas.mitula.cl/adform/24301-256-799f-c1bf29ea0a1-a8c9-19ae069-f5c6?page=3&pos=0&t_sec=1&t_pvid=05f2ebd6-2830-4253-a116-1ad88fb6dde1&hd=false
Constanza Torres,2026-04-22 17:27:16,Departamento Mitula,La Serena,46,500000.0,2,1,0,1,1,1,0,0,https://casas.mitula.cl/adform/24301-256-50bf-ce526dafdda6-a421-2afb550-2ab1?page=3&pos=1&t_sec=1&t_pvid=05f2ebd6-2830-4253-a116-1ad88fb6dde1&hd=false
Constanza Torres,2026-04-22 17:27:16,Departamento Mitula,La Serena,82,500000.0,3,2,1,1,1,1,0,0,https://casas.mitula.cl/adform/24301-256-4f61-b122a782adad-85e5-cbee450c-d4f9?page=3&pos=2&t_sec=1&t_pvid=05f2ebd6-2830-4253-a116-1ad88fb6dde1&hd=false
Constanza Torres,2026-04-22 17:27:16,Departamento Mitula,Coquimbo,99,800000.0,4,3,1,1,1,1,1,1,https://casas.mitula.cl/adform/24301-256-46c0-e05d9a802abc-bfde-a50ce6d8-311a?page=3&pos=3&t_sec=1&t_pvid=05f2ebd6-2830-4253-a116-1ad88fb6dde1&hd=false
