precio,m2,dormitorios,banos,estacionamiento,enlace
620000,54,1,1,0,https://casas.mitula.cl/adform/24301-256-4188-4e3e5e1c2db3-83de-351dec75-b786?page=6&pos=21&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
600000,80,3,2,0,https://casas.mitula.cl/adform/24301-256-41b7-624e3332795f-ab2a-ca38fec0-33b4?page=2&pos=28&t_sec=1&t_pvid=e02a8ce9-5325-4d77-8de1-7f42945da528&hd=false
550000,54,2,1,0,https://casas.mitula.cl/adform/24301-256-41f8-e3cd11bdcc73-bf17-169bf82a-57f0?page=6&pos=20&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
630000,68,2,2,0,https://casas.mitula.cl/adform/24301-256-4210-3fc177a09908-8d8b-7e0fc6dc-adc0?page=6&pos=26&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
380000,50,3,1,0,https://casas.mitula.cl/adform/24301-256-428c-8f53b6affe3d-84d2-598311ba-f8a4?page=16&pos=23&t_sec=1&t_pvid=ce484b53-61c1-491e-9939-9b737527fe67&hd=false
490000,44,2,1,1,https://casas.mitula.cl/adform/24301-256-42b2-be936457fd30-b990-8a1caa57-45f8?page=7&pos=18&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
520000,45,2,1,1,https://casas.mitula.cl/adform/24301-256-42bf-b5bf76cd6a0d-9df8-4f3c3c45-921d?page=12&pos=0&t_sec=1&t_pvid=9de5cc26-ee18-428d-9b00-b1b2d8188f1e&hd=false
510000,49,2,2,0,https://casas.mitula.cl/adform/24301-256-42cb-e2dadee36b3b-a35f-9a987a50-f2d7?page=6&pos=14&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
360000,64,3,2,0,https://casas.mitula.cl/adform/24301-256-4323-2b50eace82c5-95d6-238bb631-6dca?page=12&pos=3&t_sec=1&t_pvid=9de5cc26-ee18-428d-9b00-b1b2d8188f1e&hd=false
348500,47,2,2,0,https://casas.mitula.cl/adform/24301-256-43d8-1ddff29d4c68-b5eb-ad18bd16-449?page=2&pos=26&t_sec=1&t_pvid=e02a8ce9-5325-4d77-8de1-7f42945da528&hd=false
500000,38,1,1,1,https://casas.mitula.cl/adform/24301-256-43e6-5265418234c7-be2c-2e4b102b-4ac2?page=13&pos=7&t_sec=1&t_pvid=5814020f-729b-4e8b-adb1-9a87e70d6d8e&hd=false
580000,60,2,2,0,https://casas.mitula.cl/adform/24301-256-4437-c9151ea2f36c-bf5a-76805f35-7d6f?page=6&pos=23&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
580000,76,3,2,1,https://casas.mitula.cl/adform/24301-256-443d-c99a0726afd7-9332-37aa93be-7873?page=7&pos=10&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
490000,60,3,2,0,https://casas.mitula.cl/adform/24301-256-445a-a228d11d9f49-ac25-162ca4c5-2903?page=3&pos=3&t_sec=1&t_pvid=fca5eec1-8dac-4aef-b40b-b0bc37e1cf1c&hd=false
650000,74,3,2,0,https://casas.mitula.cl/adform/24301-256-4522-40c0f65c700e-b354-425c645f-f096?page=6&pos=27&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
