ciudad_limpia,precio,IDH,Categoria_Riesgo
La Serena,620000,1.0,Óptimo (IDH 1.0)
La Serena,348500,1.0,Óptimo (IDH 1.0)
La Serena,500000,1.0,Óptimo (IDH 1.0)
La Serena,550000,2.0,Hacinado (IDH >= 2.0)
La Serena,450000,2.0,Hacinado (IDH >= 2.0)
La Serena,490000,3.0,Hacinado (IDH >= 2.0)
Coquimbo,500000,1.0,Óptimo (IDH 1.0)
Coquimbo,780000,2.0,Hacinado (IDH >= 2.0)
La Serena,450000,3.0,Hacinado (IDH >= 2.0)
La Serena,450000,1.0,Óptimo (IDH 1.0)
La Serena,460000,1.0,Óptimo (IDH 1.0)
Coquimbo,380000,1.0,Óptimo (IDH 1.0)
La Serena,550000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,490000,2.0,Hacinado (IDH >= 2.0)
La Serena,510000,1.0,Óptimo (IDH 1.0)
Coquimbo,500000,2.0,Hacinado (IDH >= 2.0)
La Serena,600000,1.0,Óptimo (IDH 1.0)
La Serena,435000,3.0,Hacinado (IDH >= 2.0)
La Serena,700000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,550000,2.0,Hacinado (IDH >= 2.0)
La Serena,630000,1.0,Óptimo (IDH 1.0)
La Serena,620000,1.0,Óptimo (IDH 1.0)
La Serena,470000,3.0,Hacinado (IDH >= 2.0)
La Serena,500000,2.0,Hacinado (IDH >= 2.0)
La Serena,650000,1.0,Óptimo (IDH 1.0)
La Serena,850000,1.0,Óptimo (IDH 1.0)
Coquimbo,600000,1.0,Óptimo (IDH 1.0)
La Serena,580000,1.0,Óptimo (IDH 1.0)
Coquimbo,380000,3.0,Hacinado (IDH >= 2.0)
La Serena,520000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,580000,1.0,Óptimo (IDH 1.0)
Coquimbo,500000,1.0,Óptimo (IDH 1.0)
Coquimbo,570000,3.0,Hacinado (IDH >= 2.0)
Coquimbo,800000,1.0,Óptimo (IDH 1.0)
La Serena,550000,1.0,Óptimo (IDH 1.0)
La Serena,700000,1.0,Óptimo (IDH 1.0)
Coquimbo,600000,1.0,Óptimo (IDH 1.0)
La Serena,455000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,415000,3.0,Hacinado (IDH >= 2.0)
La Serena,650000,1.0,Óptimo (IDH 1.0)
La Serena,600000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,900000,1.0,Óptimo (IDH 1.0)
La Serena,450000,3.0,Hacinado (IDH >= 2.0)
Coquimbo,600000,1.0,Óptimo (IDH 1.0)
Coquimbo,600000,3.0,Hacinado (IDH >= 2.0)
Coquimbo,650000,1.0,Óptimo (IDH 1.0)
Coquimbo,630000,1.0,Óptimo (IDH 1.0)
Coquimbo,700000,1.0,Óptimo (IDH 1.0)
Coquimbo,480000,3.0,Hacinado (IDH >= 2.0)
La Serena,650000,1.0,Óptimo (IDH 1.0)
Coquimbo,450000,1.0,Óptimo (IDH 1.0)
Coquimbo,500000,2.0,Hacinado (IDH >= 2.0)
La Serena,1100000,1.0,Óptimo (IDH 1.0)
La Serena,370000,3.0,Hacinado (IDH >= 2.0)
Coquimbo,300000,1.0,Óptimo (IDH 1.0)
Coquimbo,550000,3.0,Hacinado (IDH >= 2.0)
La Serena,550000,1.0,Óptimo (IDH 1.0)
La Serena,600000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,590000,1.0,Óptimo (IDH 1.0)
La Serena,900000,1.0,Óptimo (IDH 1.0)
La Serena,550000,3.0,Hacinado (IDH >= 2.0)
La Serena,500000,2.0,Hacinado (IDH >= 2.0)
La Serena,620000,1.0,Óptimo (IDH 1.0)
Coquimbo,470000,2.0,Hacinado (IDH >= 2.0)
La Serena,470000,2.0,Hacinado (IDH >= 2.0)
La Serena,470000,3.0,Hacinado (IDH >= 2.0)
La Serena,600000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,500000,2.0,Hacinado (IDH >= 2.0)
La Serena,500000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,350000,1.0,Óptimo (IDH 1.0)
La Serena,580000,1.0,Óptimo (IDH 1.0)
La Serena,495000,2.0,Hacinado (IDH >= 2.0)
La Serena,650000,1.0,Óptimo (IDH 1.0)
La Serena,480000,1.0,Óptimo (IDH 1.0)
Coquimbo,415000,1.0,Óptimo (IDH 1.0)
La Serena,510000,3.0,Hacinado (IDH >= 2.0)
La Serena,550000,3.0,Hacinado (IDH >= 2.0)
Coquimbo,750000,1.0,Óptimo (IDH 1.0)
La Serena,580000,1.0,Óptimo (IDH 1.0)
Coquimbo,485000,1.0,Óptimo (IDH 1.0)
La Serena,500000,2.0,Hacinado (IDH >= 2.0)
La Serena,400000,2.0,Hacinado (IDH >= 2.0)
La Serena,600000,1.0,Óptimo (IDH 1.0)
La Serena,560000,1.0,Óptimo (IDH 1.0)
Coquimbo,500000,1.0,Óptimo (IDH 1.0)
La Serena,500000,3.0,Hacinado (IDH >= 2.0)
La Serena,700000,1.0,Óptimo (IDH 1.0)
La Serena,550000,1.0,Óptimo (IDH 1.0)
La Serena,550000,1.0,Óptimo (IDH 1.0)
La Serena,490000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,480000,2.0,Hacinado (IDH >= 2.0)
La Serena,460000,2.0,Hacinado (IDH >= 2.0)
La Serena,480000,1.0,Óptimo (IDH 1.0)
La Serena,580000,1.0,Óptimo (IDH 1.0)
La Serena,480000,1.0,Óptimo (IDH 1.0)
Coquimbo,600000,1.0,Óptimo (IDH 1.0)
La Serena,500000,1.0,Óptimo (IDH 1.0)
La Serena,580000,1.0,Óptimo (IDH 1.0)
Coquimbo,550000,2.0,Hacinado (IDH >= 2.0)
La Serena,900000,1.0,Óptimo (IDH 1.0)
La Serena,650000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,450000,1.0,Óptimo (IDH 1.0)
La Serena,425000,1.0,Óptimo (IDH 1.0)
Coquimbo,550000,1.0,Óptimo (IDH 1.0)
La Serena,650000,2.0,Hacinado (IDH >= 2.0)
La Serena,135000,2.0,Hacinado (IDH >= 2.0)
La Serena,400000,3.0,Hacinado (IDH >= 2.0)
La Serena,500000,1.0,Óptimo (IDH 1.0)
Coquimbo,490000,1.0,Óptimo (IDH 1.0)
La Serena,650000,1.0,Óptimo (IDH 1.0)
La Serena,550000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,430000,1.0,Óptimo (IDH 1.0)
Coquimbo,1000000,1.0,Óptimo (IDH 1.0)
La Serena,600000,1.0,Óptimo (IDH 1.0)
Coquimbo,400000,1.0,Óptimo (IDH 1.0)
Coquimbo,100000,1.0,Óptimo (IDH 1.0)
La Serena,650000,1.0,Óptimo (IDH 1.0)
La Serena,370000,1.0,Óptimo (IDH 1.0)
Coquimbo,790000,1.0,Óptimo (IDH 1.0)
La Serena,550000,1.0,Óptimo (IDH 1.0)
La Serena,600000,1.0,Óptimo (IDH 1.0)
Coquimbo,500000,3.0,Hacinado (IDH >= 2.0)
Coquimbo,480000,3.0,Hacinado (IDH >= 2.0)
La Serena,500000,1.0,Óptimo (IDH 1.0)
Coquimbo,570000,1.0,Óptimo (IDH 1.0)
La Serena,960000,1.0,Óptimo (IDH 1.0)
La Serena,500000,1.0,Óptimo (IDH 1.0)
La Serena,500000,1.0,Óptimo (IDH 1.0)
La Serena,480000,1.0,Óptimo (IDH 1.0)
La Serena,550000,1.0,Óptimo (IDH 1.0)
La Serena,480000,3.0,Hacinado (IDH >= 2.0)
La Serena,500000,1.0,Óptimo (IDH 1.0)
Coquimbo,635000,2.0,Hacinado (IDH >= 2.0)
La Serena,840000,1.0,Óptimo (IDH 1.0)
La Serena,650000,2.0,Hacinado (IDH >= 2.0)
La Serena,500000,2.0,Hacinado (IDH >= 2.0)
La Serena,550000,1.0,Óptimo (IDH 1.0)
La Serena,600000,1.0,Óptimo (IDH 1.0)
La Serena,550000,1.0,Óptimo (IDH 1.0)
Coquimbo,110000,1.0,Óptimo (IDH 1.0)
La Serena,350000,3.0,Hacinado (IDH >= 2.0)
La Serena,480000,3.0,Hacinado (IDH >= 2.0)
Coquimbo,550000,1.0,Óptimo (IDH 1.0)
Coquimbo,350000,1.0,Óptimo (IDH 1.0)
La Serena,580000,1.0,Óptimo (IDH 1.0)
Coquimbo,390000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,680000,1.0,Óptimo (IDH 1.0)
Coquimbo,450000,1.0,Óptimo (IDH 1.0)
La Serena,490000,1.0,Óptimo (IDH 1.0)
Coquimbo,580000,1.0,Óptimo (IDH 1.0)
Coquimbo,100000,1.0,Óptimo (IDH 1.0)
Coquimbo,120000,1.0,Óptimo (IDH 1.0)
La Serena,450000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,350000,1.0,Óptimo (IDH 1.0)
La Serena,630000,1.0,Óptimo (IDH 1.0)
La Serena,500000,1.0,Óptimo (IDH 1.0)
La Serena,650000,1.0,Óptimo (IDH 1.0)
Coquimbo,500000,2.0,Hacinado (IDH >= 2.0)
Coquimbo,600000,1.0,Óptimo (IDH 1.0)
La Serena,500000,2.0,Hacinado (IDH >= 2.0)
La Serena,480000,1.0,Óptimo (IDH 1.0)
La Serena,520000,1.0,Óptimo (IDH 1.0)
La Serena,580000,1.0,Óptimo (IDH 1.0)
La Serena,600000,1.0,Óptimo (IDH 1.0)
Coquimbo,400000,1.0,Óptimo (IDH 1.0)
La Serena,600000,1.0,Óptimo (IDH 1.0)
Coquimbo,590000,1.0,Óptimo (IDH 1.0)
Coquimbo,480000,3.0,Hacinado (IDH >= 2.0)
La Serena,480000,1.0,Óptimo (IDH 1.0)
Coquimbo,400000,3.0,Hacinado (IDH >= 2.0)
Coquimbo,550000,1.0,Óptimo (IDH 1.0)
Coquimbo,110000,1.0,Óptimo (IDH 1.0)
La Serena,590000,1.0,Óptimo (IDH 1.0)
Coquimbo,420000,2.0,Hacinado (IDH >= 2.0)
La Serena,530000,3.0,Hacinado (IDH >= 2.0)
La Serena,550000,1.0,Óptimo (IDH 1.0)
La Serena,450000,3.0,Hacinado (IDH >= 2.0)
La Serena,490000,3.0,Hacinado (IDH >= 2.0)
La Serena,450000,3.0,Hacinado (IDH >= 2.0)
Coquimbo,790000,1.0,Óptimo (IDH 1.0)
La Serena,450000,2.0,Hacinado (IDH >= 2.0)
La Serena,600000,1.0,Óptimo (IDH 1.0)
La Serena,360000,3.0,Hacinado (IDH >= 2.0)
La Serena,530000,1.0,Óptimo (IDH 1.0)
La Serena,475000,3.0,Hacinado (IDH >= 2.0)
La Serena,750000,1.0,Óptimo (IDH 1.0)
Coquimbo,440000,1.0,Óptimo (IDH 1.0)
