titulo,precio_texto,precio_num,ubicacion,habitaciones,banos,terreno,estacionamientos,atributos_detectados,descripcion,enlace,fuente,tipo_operacion,tipo_propiedad,ciudad_objetivo,fecha_captura
"La Serena, Espacioso y Luminoso en Excelente Ubicación (159199)",$ 550.000,550000,La Serena,2,2,55,1,"['Amoblado', 'Terraza', 'Bodega', 'Logia', 'Conserjería', 'Suite', 'Seguridad']","Descubre el equilibrio perfecto entre comodidad y exclusividad en este encantador departamento ubicado en la vibrante comuna de La Serena, en la deslumbrante región de Coquimbo. En Condominio Barrio Universitario V, a una cuadra del Jumbo, centros comerciales, cafeterias, farmacias, a minutos del aeropuerto de La Serena, este impecable departamento ubicado en un primer piso que cuenta con vista nororiente cuenta con dos acogedores dormitorios, uno en suite con shower el otro baño cuenta con ventilación natural. cuenta con un closet en el pasillo donde tienes mas espacio para tener todo ordenado, la cocina en cerrada, cuenta con logia donde tiene instalación para lavadora, calefón a eléctrico a gas, cocina a gas con conexión a gas de cañería tan importante en estos días. El departamento cuenta con alarma, el condominio es muy tranquilo y cuenta con cerco eléctrico para mayor seguridad y conserjería las 24 horas. Este espacio ofrece el refugio ideal para quienes buscan un nuevo comienzo. Sus 55 metros cuadrados construidos están diseñados con un enfoque en la funcionalidad y el confort, complementados por una encantadora terraza de 3 metros cuadrados para disfrutar de momentos al aire libre. La conveniencia de tener tu propio estacionamiento asegura que la experiencia de vivir aquí sea tranquila y sin preocupaciones. Todo esto por un atractivo precio de $550.000.- con gastos comunes incluidos No pierdas la oportunidad de formar parte de una comunidad pujante y disfrutar de una calidad de vida incomparable en La Serena. Tu futuro hogar te está esperando!",https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-serena/departamento/espacioso-y-luminoso-en-excelente-ubicacion-159199/116152244,ChilePropiedades,Arriendo mensual,Departamento,La Serena,2026-04-21 16:45:15
"La Serena, Av. Cruz del Molino 325",$ 400.000,400000,La Serena,1,1,43,,"['Amoblado', 'Terraza', 'Lavandería', 'Bodega', 'Piscina', 'Conserjería', 'Suite', 'Quincho', 'Seguridad', 'Balcón']","ARRIENDO DEPARTAMENTO EN LA SERENA AÑO CORRIDO DISPONIBLE DESDE ABRIL DEL 2026 SECTOR PUERTAS DEL MAR CONDOMINIO ALTO SERENA III Inmejorable ubicación. Cerca del centro, de la playa (altura del faro monumental) Es un barrio universitario tranquilo y residencial. Cerca del terminal de buses. Frente a Mega Supermercado y Mall de comercio Puertas del Mar. Farmacia, patio de comidas y más. Situado a 4 minutos de la playa en auto. 15 minutos caminando. Frente a centro comercial Lider, Homecenter, farmacia, patio de comidas y más. Acceso al edificio con clave digital. Condominio cuenta con altos estándares de seguridad. Con centro de cámaras de vigilancia y Conserjería 24 horas. El departamento cuenta con: 1 dormitorio con baño en suite. Piscina. Quincho en azotea. Balcón Terraza. Cama matrimonial. 2 Veladores. TV 42 pulgadas en dormitorio fijada en muro. Futón básico en sala. Refrigerador. Cocina eléctrica. Horno GRANDE Eléctrico. Microondas. Vajilla completa. 1 Baño completo. Cocina americana, Con mesón y 2 sillas telescópicas. Encimera eléctrica 2 platos. Campana. Centro de lavandería con tarjeta de carga. Si necesita estacionamiento puede arrendar un lugar dentro del mismo condominio. VALOR MENSUAL $400.000 INCLUYE GASTOS COMUNES Interesados favor contactar: +569 50983731 Atte. Francisco",https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-serena/departamento/av-cruz-del-molino-325/63193245,ChilePropiedades,Arriendo mensual,Departamento,La Serena,2026-04-21 16:45:16
"La Serena, Amoblado – (159096)",$ 460.000,460000,La Serena,1,1,34,1,"['Amoblado', 'Lavandería', 'Bodega', 'Piscina', 'Seguridad', 'Balcón']","Publicado por TORRE UNO BROKER, con más de 10 años de experiencia en Asesoría Inmobiliaria y Financiera. Se arrienda acogedor departamento amoblado ubicado en segundo piso, en calle Libertad, frente al consolidado sector Puertas del Mar, La Serena. Destaca por su excelente conectividad y cercanía a servicios, universidades, supermercados y a pasos del centro de la ciudad. Además, se encuentra a solo 5 minutos de Avenida del Mar. Características del departamento: * Superficie: 34 m + 2 m de balcón * 1 dormitorio * 1 baño * Cocina funcional * Estacionamiento incluido * Se arrienda completamente amoblado Equipamiento del condominio: * Seguridad 24/7 y acceso controlado * Piscina * Quinchos * Lavandería * Áreas comunes Ideal para estudiantes o profesionales que buscan comodidad, ubicación estratégica y un entorno seguro.",https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-serena/departamento/amoblado-159096/116069027,ChilePropiedades,Arriendo mensual,Departamento,La Serena,2026-04-21 16:45:17
"La Serena, Arriendo dpto peñuelas coquimbo (159124)",$ 650.000,650000,La Serena,3,2,54,1,"['Amoblado', 'Terraza', 'Lavandería', 'Bodega', 'Piscina', 'Seguridad']","ARRIENDO año corrido/amoblado, MARINA SOL Hermoso departamento amoblado, ubicación y vista privilegiada a pasos de la avenida del mar, casino, restaurantes, mall, servicios y con muy buena conectividad. Características 3 dormitorios 2 baños Walking closet dormitorio principal Terraza 1 estacionamiento Conexión a lavadora Orientación poniente/sur Piso 15 53 mt2 Áreas comunes Quinchos Piscina Áreas verdes Estacionamiento de visita Lavandería Sala de eventos Doble acceso controlado 24/7 Valor Arriendo $650.000 gastos comunes incluidos",https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-serena/departamento/arriendo-dpto-penuelas-coquimbo-159124/116062316,ChilePropiedades,Arriendo mensual,Departamento,La Serena,2026-04-21 16:45:18
"La Serena, Av del mar 800",$ 500.000,500000,La Serena,1,1,52,1,"['Amoblado', 'Terraza', 'Lavandería', 'Bodega', 'Conserjería', 'Quincho', 'Seguridad']","Se Arrienda hermoso departamento en Avenida del Mar, Periodo Marzo - 20 Diciembre, frente al ícono de Serena, el Faro Monumental. Con una ubicación privilegiada a pasos de la Universidad central de la Serena e Inacap, muy cerca del centro, mall plaza la Serena, y supermercados. Totalmente amoblado, llegar y ocupar, Considera 1 dormitorio matrimonial, un sillón cama en living, refrigerador, microondas, juguera, línea blanca, batería de cocina, 1 baño, terraza cerrada con ventanales, estacionamiento, conserjería las 24 horas, 2 piscinas, quincho para asados, perfecto para estudiantes o matrimonios. El Valor del arriendo considera el WiFi Movistar Fibra óptica 600 / 600 y los gastos comunes. También considera lavandería en primer piso con un costo muy bajo por cada carga de lavado y secado. Móvil contacto: +56 9 8548 2846",https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-serena/departamento/av-del-mar-800/71922427,ChilePropiedades,Arriendo mensual,Departamento,La Serena,2026-04-21 16:45:19
"La Serena, Se Arrienda cómodo Departamento Panorámica (159126)",$ 500.000,500000,La Serena,3,2,57,1,"['Amoblado', 'Bodega', 'Logia', 'Suite', 'Seguridad', 'Balcón']","Se arrienda cómodo Departamento nuevo sin uso, ubicado en sector El Milagro, tiene excelente conectividad. Características: Tiene una superficie de 57 mt2, primer piso, living comedor muy luminoso, Balcón, cocina amoblada, logia, 3 dormitorios, 2 baños, dormitorio principal con baño en suite. Condominio cuenta con control portería 24/7, Quinchos, bicicleteros, juegos infantiles Valor arriendo: $ 500.000 incluye gastos comunes",https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-serena/departamento/se-arrienda-comodo-departamento-panoramica-159126/116047772,ChilePropiedades,Arriendo mensual,Departamento,La Serena,2026-04-21 16:45:20
"La Serena, Avenida Pacifico",$ 650.000,650000,La Serena,3,2,68,1,"['Amoblado', 'Lavandería', 'Bodega', 'Piscina', 'Ascensor', 'Quincho', 'Seguridad']","[ARR] ID HOUM: 169854 En Houm no te pedimos garantía ni aval*. Entérate de todos los beneficios al Arrendar con nosotros: Asistencia e intermediación con el propietario Firma tu contrato online Arrienda sin burocracia, papeleos y mucho más rápido Departamento en arriendo, ubicado en la comuna de La Serena, con una superficie construida de 68.00 m y superficie total de 68.00 m. Sus principales características son: Amoblado 3 dormitorios 2 baños No Admite mascotas 1 estacionamiento Cocina amoblada Año de construcción: 2019 Conexión a lavadora Además, el inmueble cuenta con las siguientes amenidades: Vigilancia 24 hrs Ascensor Zona de juegos Piscina Lavandería Quincho Si arriendas con nosotros, te brindamos asesoría personalizada durante todo el proceso. Requisitos para arrendar con nosotros: Se deben demostrar ingresos que sean 2,8 veces el valor del arriendo En caso de que tus ingresos no lleguen a 2,8 veces el valor del arriendo, estos pueden ser la suma de los ingresos de las personas que vivirán en la propiedad IMPORTANTE: Si tienes alguna duda por favor puedes solicitar más información desde los portales como también contactarte directamente con nosotros Te invitamos a agendar una visita a esta propiedad: esta puede ser presencial o vía streaming, desde la comodidad de tu hogar Más que una corredora, somos Houm. *Aplican T&C",https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-serena/departamento/avenida-pacifico/116009507,ChilePropiedades,Arriendo mensual,Departamento,La Serena,2026-04-21 16:45:22
"La Serena, Avenida Pacífico",$ 550.000,550000,La Serena,2,2,60,1,"['Amoblado', 'Lavandería', 'Bodega', 'Piscina', 'Ascensor', 'Quincho', 'Seguridad']","[ARR] ID HOUM: 169851 En Houm no te pedimos garantía ni aval*. Entérate de todos los beneficios al Arrendar con nosotros: Asistencia e intermediación con el propietario Firma tu contrato online Arrienda sin burocracia, papeleos y mucho más rápido Departamento en arriendo, ubicado en la comuna de La Serena, con una superficie construida de 60.00 m y superficie total de 60.00 m. Sus principales características son: Amoblado 2 dormitorios 2 baños No Admite mascotas 1 estacionamiento Año de construcción: 2024 Conexión a lavadora Además, el inmueble cuenta con las siguientes amenidades: Salón de eventos Ascensor Piscina Lavandería Quincho Si arriendas con nosotros, te brindamos asesoría personalizada durante todo el proceso. Requisitos para arrendar con nosotros: Se deben demostrar ingresos que sean 2,8 veces el valor del arriendo En caso de que tus ingresos no lleguen a 2,8 veces el valor del arriendo, estos pueden ser la suma de los ingresos de las personas que vivirán en la propiedad IMPORTANTE: Si tienes alguna duda por favor puedes solicitar más información desde los portales como también contactarte directamente con nosotros Te invitamos a agendar una visita a esta propiedad: esta puede ser presencial o vía streaming, desde la comodidad de tu hogar Más que una corredora, somos Houm. *Aplican T&C",https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-serena/departamento/avenida-pacifico/116009339,ChilePropiedades,Arriendo mensual,Departamento,La Serena,2026-04-21 16:45:23
"La Serena, Avenida Estadio",$ 550.000,550000,La Serena,2,1,50,1,"['Amoblado', 'Bodega', 'Piscina', 'Seguridad']","[ARR] ID HOUM: 169613 En Houm no te pedimos garantía ni aval*. Entérate de todos los beneficios al Arrendar con nosotros: Asistencia e intermediación con el propietario Firma tu contrato online Arrienda sin burocracia, papeleos y mucho más rápido Departamento en arriendo, ubicado en la comuna de La Serena, con una superficie construida de 50.00 m y superficie total de 50.00 m. Sus principales características son: Amoblado 2 dormitorios 1 baño No Admite mascotas 1 estacionamiento Año de construcción: 2011 Conexión a lavadora Además, el inmueble cuenta con las siguientes amenidades: Piscina Si arriendas con nosotros, te brindamos asesoría personalizada durante todo el proceso. Requisitos para arrendar con nosotros: Se deben demostrar ingresos que sean 2,8 veces el valor del arriendo En caso de que tus ingresos no lleguen a 2,8 veces el valor del arriendo, estos pueden ser la suma de los ingresos de las personas que vivirán en la propiedad IMPORTANTE: Si tienes alguna duda por favor puedes solicitar más información desde los portales como también contactarte directamente con nosotros Te invitamos a agendar una visita a esta propiedad: esta puede ser presencial o vía streaming, desde la comodidad de tu hogar Más que una corredora, somos Houm. *Aplican T&C",https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-serena/departamento/avenida-estadio/116008638,ChilePropiedades,Arriendo mensual,Departamento,La Serena,2026-04-21 16:45:23
"La Serena, Condominio valle de la florida 6",$ 500.000,500000,La Serena,3,2,63,1,"['Amoblado', 'Bodega', 'Ascensor', 'Seguridad']","#arriendo año corrido &#55356; nuevo sin muebles: Sector: calle orquideas, la florida Valor arriendo: &#128178; 500.000 incluido de gastos comunes Se agenda visita posterior al analisis de los documentos!!. Full equipado máximo 4 personas. Cercano a los supermercado alvi, colegios, locomoción colectiva por calle arandanos a 1 cuadra. &#128313; piso 2 &#128313; 3 dormitorios con closet y cubre piso &#128313; 2 baños con tina &#128313; cocina estilo abierta equipada &#128313; loggia equipado con lconexión de lavadora y calefont &#128313; piso ceramico &#128313; orientación sur &#128664; estacionamiento El condominio cuenta con: ~ bicicleteros ~ quinchos, barras de ejercicios ~ áreas verdes, juegos infantiles. ~ sin ascensor y acceso controlado. &#128205; condominio valle de la florida 6!!",https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/la-serena/departamento/condominio-valle-de-la-florida-6/115998137,ChilePropiedades,Arriendo mensual,Departamento,La Serena,2026-04-21 16:45:24
